#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         214   -0.223694   -0.139238  0.00426896
         215   -0.215852   -0.139595  0.00426395
         216   -0.199053    -0.13987  0.00425309
         217   -0.222102   -0.140249  0.00425034
         218   -0.207896   -0.140559  0.00424215
         219   -0.214059   -0.140895  0.00423604
         220   -0.222589   -0.141266  0.00423303
         221   -0.237971   -0.141704  0.00423643
         222   -0.259577   -0.142235  0.00425049
         223   -0.264412   -0.142783  0.00426659
         224   -0.261865   -0.143314  0.00428054
         225   -0.257068    -0.14382  0.00429127
         226    -0.26163   -0.144341  0.00430382
         227   -0.254081   -0.144825  0.00431193
         228   -0.250962    -0.14529  0.00431807
         229   -0.240887   -0.145708  0.00431935
         230   -0.252478   -0.146172  0.00432544
         231    -0.26017   -0.146665  0.00433478
         232    -0.26156   -0.147161  0.00434429
         233    -0.25972   -0.147644  0.00435242
         234   -0.258407   -0.148117  0.00435949
         235    -0.26793   -0.148627  0.00437065
         236   -0.282981   -0.149196  0.00438905
         237   -0.287983   -0.149782  0.00440942
         238   -0.277322   -0.150318  0.00442334
         239   -0.271615   -0.150825  0.00443385
         240   -0.278026   -0.151355  0.00444694
         241   -0.278483   -0.151883  0.00445967
         242   -0.265524   -0.152352  0.00446589
         243   -0.241369   -0.152719  0.00446251
         244   -0.262867    -0.15317    0.004467
         245   -0.245681   -0.153548   0.0044647
         246   -0.253523   -0.153954  0.00446501
         247   -0.253966   -0.154359  0.00446525
         248    -0.24683   -0.154732  0.00446279
         249   -0.251087   -0.155119  0.00446161
         250   -0.243558   -0.155472  0.00445777
         251   -0.244186   -0.155826    0.004454
         252   -0.219624   -0.156079  0.00444351
         253   -0.250617   -0.156453  0.00444163
         254   -0.254043   -0.156837  0.00444073
         255   -0.243904   -0.157178  0.00443642
         256   -0.237869   -0.157494  0.00443028
         257   -0.250127   -0.157854  0.00442768
         258   -0.246141   -0.158196  0.00442372
         259   -0.224943   -0.158454  0.00441414
         260   -0.236825   -0.158755  0.00440744
         261   -0.244526   -0.159084  0.00440279
         262   -0.248182   -0.159424   0.0043991
         263   -0.265219   -0.159826  0.00440072
         264   -0.277344   -0.160271  0.00440651
         265   -0.257576   -0.160639  0.00440515
         266   -0.254567   -0.160992  0.00440272
         267   -0.268363   -0.161394  0.00440456
         268   -0.263695   -0.161776  0.00440464
         269   -0.264873   -0.162159   0.0044049
         270   -0.272193   -0.162566   0.0044074
         271   -0.276687   -0.162988  0.00441121
         272   -0.263105   -0.163356  0.00441032
         273   -0.248301   -0.163667  0.00440513
         274   -0.228522   -0.163903  0.00439541
         275    -0.23642   -0.164167  0.00438733
         276   -0.222896    -0.16438  0.00437659
         277   -0.211368    -0.16455  0.00436407
         278   -0.243621   -0.164834  0.00435763
         279   -0.263913   -0.165189  0.00435646
         280   -0.260788   -0.165531  0.00435426
         281   -0.274771   -0.165919  0.00435609
         282   -0.248858   -0.166213  0.00435056
         283   -0.253185   -0.166521  0.00434602
         284   -0.286039   -0.166942  0.00435105
         285   -0.278745   -0.167334  0.00435343
         286   -0.263283   -0.167669  0.00435112
         287   -0.270128   -0.168026  0.00435058
         288   -0.286635   -0.168438  0.00435492
         289   -0.257395   -0.168746  0.00435072
         290   -0.257314   -0.169051  0.00434642
         291   -0.255914    -0.16935  0.00434172
         292   -0.261782   -0.169666  0.00433838
         293   -0.269867   -0.170008  0.00433703
         294   -0.270981   -0.170352  0.00433585
         295   -0.280736   -0.170726  0.00433727
         296   -0.268873   -0.171058  0.00433527
         297   -0.265314   -0.171375  0.00433228
         298   -0.273233   -0.171717   0.0043312
         299   -0.279896   -0.172079   0.0043318
         300   -0.269415   -0.172403   0.0043295
         301   -0.226281   -0.172582  0.00431881
         302   -0.226084   -0.172759  0.00430814
         303   -0.271193   -0.173084  0.00430616
         304   -0.279596   -0.173434  0.00430622
         305   -0.277945   -0.173777  0.00430571
         306   -0.271574   -0.174097  0.00430349
         307   -0.258257   -0.174371  0.00429819
         308   -0.258671   -0.174645  0.00429294
         309   -0.258085   -0.174915  0.00428753
         310   -0.266652   -0.175211   0.0042839
         311   -0.273016   -0.175525  0.00428166
         312   -0.286122   -0.175879  0.00428258
         313   -0.265668   -0.176166   0.0042785
         314   -0.271685   -0.176471  0.00427567
         315   -0.282572   -0.176807  0.00427534
         316   -0.289828   -0.177165  0.00427675
         317   -0.286933   -0.177511  0.00427725
         318   -0.275561    -0.17782   0.0042749
         319   -0.263449   -0.178088  0.00426992
         320   -0.293015   -0.178447  0.00427165
         321   -0.289363   -0.178793   0.0042723
         322   -0.308779   -0.179196  0.00427806
         323    -0.28927   -0.179537  0.00427837
         324   -0.285736   -0.179865   0.0042777
         325   -0.292368   -0.180211  0.00427852
         326   -0.318893   -0.180637  0.00428649
         327   -0.314861   -0.181047  0.00429299
         328   -0.316594    -0.18146  0.00429975
         329   -0.317732   -0.181875  0.00430658
         330   -0.307432   -0.182255  0.00431031
         331    -0.30013   -0.182611  0.00431197
         332   -0.303467   -0.182975  0.00431432
         333   -0.302884   -0.183335  0.00431637
         334   -0.308736   -0.183711  0.00431974
         335   -0.310046   -0.184088  0.00432328
         336   -0.301945   -0.184439  0.00432462
         337   -0.306619   -0.184801  0.00432695
         338   -0.294339   -0.185125  0.00432627
         339   -0.306607   -0.185484  0.00432833
         340   -0.310384   -0.185851  0.00433116
         341   -0.308013   -0.186209  0.00433325
         342   -0.318566   -0.186596  0.00433782
         343   -0.333718   -0.187025  0.00434633
         344    -0.34909   -0.187496  0.00435916
         345   -0.360244   -0.187997  0.00437518
         346    -0.32502   -0.188393  0.00438042
         347   -0.297388   -0.188707  0.00437905
         348   -0.301188    -0.18903  0.00437838
         349   -0.324843   -0.189419  0.00438309
         350   -0.302594   -0.189743  0.00438248
         351   -0.264731   -0.189956   0.0043752
         352   -0.277427   -0.190205  0.00436982
         353   -0.321894   -0.190578  0.00437334
         354   -0.318032   -0.190938  0.00437578
         355   -0.315502   -0.191289   0.0043775
         356   -0.305483    -0.19161  0.00437694
         357   -0.311607   -0.191946  0.00437756
         358   -0.332951    -0.19234  0.00438302
         359   -0.335832   -0.192739    0.004389
         360   -0.354882    -0.19319  0.00439986
         361   -0.345746   -0.193612  0.00440792
         362   -0.320225   -0.193962  0.00440959
         363   -0.284621   -0.194212  0.00440451
         364   -0.324788   -0.194571    0.004407
         365   -0.331847   -0.194947  0.00441094
         366   -0.341111   -0.195346  0.00441693
         367   -0.330104   -0.195713  0.00442013
         368   -0.321539   -0.196055  0.00442133
         369   -0.325196   -0.196405  0.00442317
         370   -0.336935   -0.196785   0.0044275
         371   -0.356424   -0.197215  0.00443642
         372   -0.353465   -0.197635  0.00444433
         373   -0.360325   -0.198071  0.00445377
         374   -0.357282   -0.198497  0.00446216
         375   -0.357627   -0.198921  0.00447039
         376   -0.358209   -0.199345  0.00447853
         377   -0.335178   -0.199705  0.00448112
         378   -0.339742   -0.200076  0.00448456
         379    -0.34028   -0.200446  0.00448795
         380   -0.345611   -0.200828  0.00449237
         381    -0.33872    -0.20119  0.00449514
         382    -0.34961   -0.201578  0.00450013
         383   -0.334022   -0.201924  0.00450165
         384   -0.345261   -0.202297  0.00450537
         385   -0.361155    -0.20271  0.00451253
         386   -0.322144   -0.203019  0.00451143
         387   -0.346105   -0.203389   0.0045149
         388    -0.37775   -0.203838  0.00452557
         389    -0.37711   -0.204284   0.0045358
         390   -0.360337   -0.204684  0.00454179
         391   -0.363653   -0.205091  0.00454833
         392   -0.356821   -0.205478  0.00455317
         393   -0.355456   -0.205859  0.00455755
         394   -0.303279   -0.206107  0.00455269
         395   -0.282731   -0.206301  0.00454529
