#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         577    -7.52283    -7.55064  0.00567104
         578    -7.48986    -7.55054   0.0056622
         579    -7.48309    -7.55042  0.00565362
         580    -7.47692     -7.5503   0.0056453
         581    -7.49961    -7.55021  0.00563625
         582    -7.48708     -7.5501  0.00562761
         583    -7.50901    -7.55003   0.0056184
         584    -7.43607    -7.54983  0.00561217
         585    -7.42054    -7.54961  0.00560692
         586    -7.47385    -7.54948  0.00559885
         587    -7.51664    -7.54943  0.00558959
         588    -7.57248    -7.54947  0.00558022
         589    -7.58141    -7.54952  0.00557101
         590    -7.61721    -7.54964  0.00556275
         591     -7.6242    -7.54976  0.00555477
         592    -7.52836    -7.54973   0.0055455
         593    -7.52386    -7.54968  0.00553632
         594    -7.58433    -7.54974  0.00552731
         595    -7.61376    -7.54985  0.00551906
         596    -7.55162    -7.54985  0.00550981
         597    -7.57686     -7.5499  0.00550076
         598    -7.56075    -7.54991  0.00549159
         599    -7.59795    -7.54999  0.00548301
         600    -7.58086    -7.55005  0.00547411
         601    -7.72492    -7.55034  0.00547273
         602       -7.74    -7.55065   0.0054727
         603    -7.73051    -7.55095  0.00547175
         604    -7.75695    -7.55129  0.00547331
         605    -7.63573    -7.55143  0.00546604
         606     -7.6083    -7.55152  0.00545783
         607    -7.64247    -7.55167  0.00545089
         608    -7.58352    -7.55173  0.00544218
         609    -7.68839    -7.55195  0.00543787
         610    -7.70698    -7.55221  0.00543489
         611    -7.65954    -7.55238  0.00542883
         612    -7.64277    -7.55253  0.00542197
         613    -7.62187    -7.55264   0.0054143
         614    -7.57924    -7.55269  0.00540566
         615    -7.58136    -7.55273  0.00539707
         616    -7.55819    -7.55274  0.00538832
         617    -7.57986    -7.55278  0.00537976
         618    -7.53813    -7.55276  0.00537111
         619    -7.51114    -7.55269  0.00536285
         620    -7.55863     -7.5527  0.00535421
         621    -7.49032     -7.5526  0.00534653
         622    -7.50196    -7.55252  0.00533856
         623    -7.45876    -7.55237  0.00533211
         624    -7.48801    -7.55227  0.00532456
         625    -7.50557    -7.55219  0.00531657
         626    -7.50534    -7.55212   0.0053086
         627    -7.56618    -7.55214  0.00530018
         628    -7.56573    -7.55216  0.00529178
         629    -7.52047    -7.55211  0.00528361
         630     -7.5011    -7.55203  0.00527584
         631    -7.52041    -7.55198  0.00526772
         632     -7.5139    -7.55192  0.00525973
         633    -7.43908    -7.55174  0.00525444
         634    -7.35604    -7.55143  0.00525521
         635    -7.35695    -7.55113  0.00525585
         636    -7.35045    -7.55081  0.00525705
         637    -7.31878    -7.55045   0.0052614
         638    -7.37301    -7.55017   0.0052605
         639    -7.35887    -7.54987  0.00526078
