#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         309    -5.52799    -5.55818   0.0119658
         310    -5.54213    -5.55813   0.0119273
         311    -5.54286    -5.55808    0.011889
         312    -5.54522    -5.55804    0.011851
         313    -5.57237    -5.55808   0.0118132
         314     -5.6295    -5.55831   0.0117778
         315    -5.61851     -5.5585    0.011742
         316     -5.6791    -5.55888    0.011711
         317     -5.7029    -5.55934   0.0116829
         318    -5.60652    -5.55948   0.0116471
         319    -5.64241    -5.55974   0.0116135
         320    -5.60268    -5.55988   0.0115779
         321    -5.55647    -5.55987   0.0115419
         322    -5.60715    -5.56001    0.011507
         323    -5.58615     -5.5601   0.0114716
         324    -5.52112    -5.55998   0.0114369
         325    -5.58673    -5.56006    0.011402
         326    -5.56958    -5.56009    0.011367
         327    -5.59569     -5.5602   0.0113328
         328     -5.4405    -5.55983   0.0113041
         329    -5.46981    -5.55956   0.0112731
         330    -5.54016     -5.5595   0.0112391
         331    -5.54167    -5.55944   0.0112052
         332    -5.53467    -5.55937   0.0111717
         333    -5.48932    -5.55916   0.0111402
         334    -5.55159    -5.55914   0.0111068
         335     -5.5848    -5.55921   0.0110739
         336    -5.51347    -5.55908   0.0110418
         337    -5.48761    -5.55887   0.0110111
         338    -5.50495    -5.55871   0.0109797
         339    -5.54544    -5.55867   0.0109473
         340    -5.51002    -5.55852   0.0109161
         341    -5.58685    -5.55861   0.0108844
         342    -5.53648    -5.55854   0.0108528
         343       -5.64    -5.55878   0.0108237
         344     -5.6497    -5.55904   0.0107955
         345    -5.52885    -5.55896   0.0107645
         346    -5.57198    -5.55899   0.0107335
         347    -5.60151    -5.55912   0.0107033
         348    -5.60049    -5.55924   0.0106732
         349    -5.59222    -5.55933    0.010643
         350    -5.64614    -5.55958   0.0106155
         351    -5.64889    -5.55983   0.0105883
         352    -5.55335    -5.55981   0.0105582
         353    -5.51721    -5.55969    0.010529
         354    -5.63048    -5.55989   0.0105012
         355    -5.61354    -5.56004   0.0104727
         356     -5.6707    -5.56035   0.0104479
         357    -5.73967    -5.56086   0.0104307
         358    -5.64643     -5.5611   0.0104043
         359    -5.54675    -5.56106   0.0103754
         360    -5.58023    -5.56111   0.0103467
         361    -5.59707    -5.56121   0.0103185
         362    -5.54799    -5.56117   0.0102901
         363    -5.57518    -5.56121   0.0102618
         364    -5.61062    -5.56135   0.0102345
         365    -5.61348    -5.56149   0.0102074
         366    -5.60164     -5.5616   0.0101801
         367    -5.56156     -5.5616   0.0101524
         368    -5.53767    -5.56153    0.010125
         369    -5.47449     -5.5613   0.0101003
         370    -5.59959     -5.5614   0.0100736
         371    -5.54985    -5.56137   0.0100465
         372    -5.48298    -5.56116   0.0100217
         373    -5.37916    -5.56067   0.0100067
         374    -5.41278    -5.56028  0.00998772
         375    -5.41033    -5.55988  0.00996909
         376    -5.36457    -5.55936   0.0099561
         377    -5.38001    -5.55888  0.00994105
         378    -5.39195    -5.55844  0.00992455
         379    -5.44651    -5.55814  0.00990276
         380    -5.39906    -5.55773  0.00988554
         381    -5.45052    -5.55744   0.0098636
         382    -5.53206    -5.55738    0.009838
         383    -5.54929    -5.55736  0.00981234
         384    -5.55248    -5.55734   0.0097868
         385     -5.5315    -5.55728  0.00976161
         386    -5.59918    -5.55739  0.00973692
         387    -5.59777    -5.55749  0.00971232
         388    -5.58849    -5.55757  0.00968762
         389    -5.60039    -5.55768  0.00966334
         390    -5.67453    -5.55798   0.0096432
         391    -5.62811    -5.55816  0.00962021
         392    -5.66555    -5.55843  0.00959957
         393    -5.71114    -5.55882    0.009583
         394    -5.68991    -5.55915  0.00956445
