Step,Mu,Sigma,Hamiltonian,Error
209,0.79067,0.816952,-0.111079,0.098946
210,0.706515,0.765701,-0.225302,0.0516123
211,0.804332,0.745384,-0.306355,0.0348037
212,0.750408,0.709939,-0.353273,0.0255326
213,0.651302,0.638659,-0.332053,0.0101753
214,0.691616,0.654681,-0.35564,0.0101833
215,0.691616,0.654681,-0.341684,0.0149205
216,0.790279,0.611558,-0.387404,0.0102887
217,0.707091,0.619123,-0.351662,0.0124235
218,0.663943,0.676219,-0.328005,0.0116394
219,0.584252,0.581122,-0.209596,0.0120976
220,0.584252,0.581122,-0.201232,0.0120973
221,0.638721,0.567404,-0.272207,0.0101996
222,0.64395,0.543443,-0.254324,0.0092975
223,0.560902,0.588676,-0.135371,0.00989395
224,0.65737,0.661865,-0.306365,0.0094113
225,0.676398,0.672186,-0.321979,0.0127123
226,0.691601,0.702738,-0.33208,0.0128425
227,0.651355,0.687454,-0.288749,0.0107048
228,0.718217,0.685045,-0.362358,0.0127564
229,0.706531,0.703287,-0.32275,0.0149343
230,0.755633,0.69426,-0.366614,0.0181435
231,0.660445,0.691876,-0.292427,0.0130405
232,0.712492,0.696626,-0.324505,0.0211709
233,0.744389,0.775189,-0.321985,0.0191495
234,0.696808,0.849126,-0.207139,0.0359286
235,0.654977,0.776598,-0.229701,0.0279344
236,0.702108,0.836356,-0.208923,0.033426
237,0.748166,0.809529,-0.275758,0.0275702
238,0.748166,0.809529,-0.215084,0.0317303
239,0.748166,0.809529,-0.237316,0.0312466
240,0.700417,0.831261,-0.181199,0.0480307
241,0.731869,0.816412,-0.177848,0.0440312
242,0.797078,0.841284,-0.228807,0.0367354
243,0.797078,0.841284,-0.203686,0.0624032
244,0.893634,0.758689,-0.172503,0.0616034
245,0.966476,0.701033,-0.243795,0.0340921
246,0.910676,0.776643,-0.180373,0.0531751
247,0.87459,0.834864,-0.128165,0.0482747
248,0.93264,0.772871,-0.15522,0.0532928
249,0.931491,0.708867,-0.26959,0.0278704
250,0.972167,0.628549,-0.233036,0.0275689
251,0.874138,0.558034,-0.298973,0.00860642
252,0.874138,0.558034,-0.292664,0.0125895
253,0.90985,0.521605,-0.176338,0.00858202
254,0.835796,0.60224,-0.382643,0.0109313
255,0.833253,0.658269,-0.386198,0.0262967
256,0.743697,0.690871,-0.394707,0.00934885
257,0.648927,0.696737,-0.276027,0.0154813
258,0.657163,0.645569,-0.327341,0.0094528
259,0.695601,0.646578,-0.357251,0.0126559
260,0.734978,0.67517,-0.379847,0.0137208
