#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         476    0.737791    0.785008   0.0121564
         477    0.737021    0.784908   0.0121314
         478    0.736278    0.784806   0.0121064
         479    0.735563    0.784703   0.0120816
         480    0.734876    0.784599   0.0120568
         481    0.734219    0.784495   0.0120322
         482     0.73359    0.784389   0.0120077
         483    0.732992    0.784283   0.0119833
         484    0.732425    0.784175   0.0119591
         485    0.731889    0.784068   0.0119349
         486    0.731383    0.783959   0.0119108
         487    0.730909     0.78385   0.0118869
         488    0.730465    0.783741    0.011863
         489    0.730053    0.783631   0.0118393
         490    0.729673    0.783521   0.0118156
         491    0.729325    0.783411   0.0117921
         492     0.72901      0.7833   0.0117686
         493    0.728728    0.783189   0.0117453
         494    0.728479    0.783079    0.011722
         495    0.728263    0.782968   0.0116989
         496    0.728082    0.782857   0.0116758
         497    0.727934    0.782747   0.0116528
         498    0.727821    0.782636   0.0116299
         499    0.727743    0.782526   0.0116072
         500    0.727699    0.782417   0.0115845
         501     0.72769    0.782308   0.0115619
         502    0.727716    0.782199   0.0115393
         503    0.727776    0.782091   0.0115169
         504    0.727872    0.781983   0.0114946
         505    0.728002    0.781876   0.0114723
         506    0.728168     0.78177   0.0114501
         507     0.72837    0.781665    0.011428
         508    0.728608     0.78156    0.011406
         509    0.728881    0.781457    0.011384
         510    0.729189    0.781354   0.0113622
         511    0.729534    0.781253   0.0113404
         512    0.729916    0.781153   0.0113187
         513    0.730336    0.781054   0.0112971
         514    0.730792    0.780956   0.0112755
         515    0.731285    0.780859    0.011254
         516    0.731814    0.780764   0.0112326
         517    0.732381    0.780671   0.0112113
         518    0.732985    0.780579     0.01119
         519    0.733627    0.780488   0.0111688
         520    0.734304    0.780399   0.0111477
         521    0.735018    0.780312   0.0111266
         522    0.735767    0.780227   0.0111057
         523    0.736551    0.780143   0.0110847
         524    0.737371    0.780062   0.0110639
         525    0.738225    0.779982   0.0110431
         526    0.739115    0.779904   0.0110224
         527    0.740038    0.779829   0.0110017
         528    0.740996    0.779755   0.0109811
         529    0.741988    0.779684   0.0109606
         530    0.743012    0.779615   0.0109401
         531    0.744068    0.779548   0.0109197
         532    0.745157    0.779483   0.0108994
         533    0.746277    0.779421   0.0108791
         534    0.747427    0.779361   0.0108589
         535    0.748606    0.779303   0.0108388
         536    0.749814    0.779248   0.0108187
         537    0.751049    0.779196   0.0107987
         538    0.752309    0.779146   0.0107787
         539    0.753594    0.779098   0.0107588
         540    0.754902    0.779054    0.010739
         541    0.756232    0.779011   0.0107192
         542    0.757582    0.778972   0.0106995
         543    0.758951    0.778935   0.0106799
         544    0.760338    0.778901   0.0106603
         545    0.761741    0.778869   0.0106408
         546    0.763158    0.778841   0.0106213
         547     0.76459    0.778814    0.010602
         548    0.766032    0.778791   0.0105826
         549    0.767483    0.778771   0.0105634
         550    0.768941    0.778753   0.0105442
         551    0.770406    0.778738   0.0105251
         552    0.771873    0.778725    0.010506
         553    0.773342    0.778715    0.010487
         554    0.774811    0.778708   0.0104681
         555    0.776278    0.778704   0.0104492
         556    0.777742    0.778702   0.0104304
         557    0.779202    0.778703   0.0104117
         558    0.780654    0.778707    0.010393
         559    0.782098    0.778713   0.0103745
         560     0.78353    0.778721   0.0103559
         561     0.78495    0.778732   0.0103375
         562    0.786356    0.778746   0.0103191
         563    0.787746    0.778762   0.0103008
         564     0.78912     0.77878   0.0102825
         565    0.790474    0.778801   0.0102644
         566    0.791807    0.778824   0.0102462
         567    0.793118    0.778849   0.0102282
         568    0.794407    0.778877   0.0102102
         569    0.795672    0.778906   0.0101923
         570    0.796912    0.778938   0.0101745
         571    0.798124    0.778971   0.0101567
         572     0.79931    0.779007    0.010139
         573    0.800467    0.779044   0.0101214
         574    0.801595    0.779084   0.0101039
         575    0.802695    0.779125   0.0100864
         576    0.803764    0.779167    0.010069
         577    0.804802    0.779212   0.0100516
         578    0.805809    0.779258   0.0100343
         579    0.806785    0.779305   0.0100171
         580    0.807729    0.779354  0.00999995
         581    0.808641    0.779405  0.00998286
         582    0.809522    0.779457  0.00996584
         583     0.81037     0.77951  0.00994889
         584    0.811187    0.779564    0.009932
         585    0.811974    0.779619  0.00991518
