#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         266    0.678245    0.779545   0.0213928
         267     0.67931    0.779169    0.021316
         268      0.6804    0.778801   0.0212396
         269    0.681513    0.778439   0.0211637
         270    0.682652    0.778084   0.0210883
         271    0.683815    0.777736   0.0210134
         272    0.685004    0.777396   0.0209389
         273    0.686218    0.777062   0.0208648
         274    0.687457    0.776735   0.0207913
         275    0.688721    0.776414   0.0207181
         276    0.690011    0.776101   0.0206454
         277    0.691325    0.775795   0.0205732
         278    0.692664    0.775496   0.0205013
         279    0.694029    0.775204   0.0204299
         280    0.695418    0.774919   0.0203589
         281    0.696832    0.774641   0.0202884
         282    0.698268    0.774371   0.0202182
         283    0.699728    0.774107   0.0201485
         284    0.701211     0.77385   0.0200792
         285    0.702715    0.773601   0.0200103
         286     0.70424    0.773358   0.0199418
         287    0.705785    0.773123   0.0198737
         288    0.707351    0.772894    0.019806
         289    0.708937    0.772673   0.0197387
         290    0.710542    0.772459   0.0196718
         291    0.712164    0.772252   0.0196053
         292    0.713805    0.772051   0.0195392
         293    0.715463    0.771858   0.0194735
         294    0.717136    0.771672   0.0194081
         295    0.718823    0.771493   0.0193432
         296    0.720524    0.771321   0.0192786
         297    0.722239    0.771156   0.0192144
         298    0.723966    0.770997   0.0191505
         299    0.725702    0.770846   0.0190871
         300    0.727449    0.770701    0.019024
         301    0.729204    0.770563   0.0189613
         302    0.730966    0.770432    0.018899
         303    0.732736    0.770308    0.018837
         304    0.734511     0.77019   0.0187754
         305     0.73629    0.770079   0.0187142
         306    0.738073    0.769974   0.0186533
         307    0.739857    0.769876   0.0185928
         308    0.741643    0.769784   0.0185327
         309    0.743429    0.769699   0.0184729
         310    0.745214     0.76962   0.0184135
         311    0.746997    0.769547   0.0183544
         312    0.748776    0.769481   0.0182957
         313    0.750552     0.76942   0.0182374
         314    0.752322    0.769366   0.0181794
         315    0.754085    0.769317   0.0181217
         316     0.75584    0.769275   0.0180644
         317    0.757587    0.769238   0.0180075
         318    0.759324    0.769207   0.0179509
         319     0.76105    0.769181   0.0178946
         320    0.762766    0.769161   0.0178387
         321    0.764469    0.769146   0.0177831
         322    0.766159    0.769137   0.0177279
         323    0.767834    0.769133    0.017673
         324    0.769492    0.769134   0.0176185
         325    0.771135     0.76914   0.0175643
         326     0.77276    0.769151   0.0175104
         327    0.774366    0.769167   0.0174569
         328    0.775954    0.769188   0.0174037
         329     0.77752    0.769213   0.0173508
         330    0.779065    0.769243   0.0172982
         331    0.780588    0.769278    0.017246
         332    0.782087    0.769316   0.0171941
         333    0.783561    0.769359   0.0171425
         334     0.78501    0.769406   0.0170912
         335    0.786433    0.769457   0.0170403
         336    0.787829    0.769511   0.0169897
         337    0.789198     0.76957   0.0169394
         338    0.790538    0.769632   0.0168894
         339    0.791851    0.769697   0.0168397
         340    0.793134    0.769766   0.0167903
         341    0.794387    0.769838   0.0167412
         342    0.795608    0.769914   0.0166924
         343    0.796797    0.769992   0.0166439
         344    0.797955    0.770073   0.0165957
         345    0.799079    0.770157   0.0165479
         346    0.800171    0.770244   0.0165003
         347    0.801228    0.770334   0.0164529
         348    0.802251    0.770425   0.0164059
         349     0.80324    0.770519   0.0163592
         350    0.804195    0.770615   0.0163127
         351    0.805114    0.770714   0.0162666
         352    0.805999    0.770814   0.0162206
         353    0.806847    0.770916    0.016175
         354    0.807659     0.77102   0.0161297
         355    0.808435    0.771125   0.0160846
         356    0.809175    0.771232   0.0160397
         357    0.809877     0.77134   0.0159952
         358    0.810542     0.77145   0.0159509
         359    0.811171    0.771561   0.0159068
         360    0.811763    0.771672    0.015863
         361    0.812319    0.771785   0.0158195
         362    0.812837    0.771898   0.0157762
         363    0.813319    0.772012   0.0157331
         364    0.813765    0.772127   0.0156903
         365    0.814174    0.772242   0.0156478
         366    0.814547    0.772358   0.0156055
         367    0.814883    0.772474   0.0155634
         368    0.815183     0.77259   0.0155215
         369    0.815448    0.772706   0.0154799
         370    0.815678    0.772822   0.0154385
         371    0.815874    0.772938   0.0153973
         372    0.816034    0.773054   0.0153563
         373     0.81616    0.773169   0.0153156
         374    0.816253    0.773285   0.0152751
         375    0.816314    0.773399   0.0152348
         376     0.81634    0.773514   0.0151947
         377    0.816336    0.773627   0.0151548
         378      0.8163     0.77374   0.0151151
         379    0.816233    0.773852   0.0150757
         380    0.816134    0.773964   0.0150364
         381    0.816004    0.774074   0.0149974
         382    0.815844    0.774183   0.0149585
         383    0.815654    0.774291   0.0149198
         384    0.815435    0.774399   0.0148814
         385    0.815188    0.774505   0.0148431
         386    0.814912    0.774609    0.014805
         387    0.814607    0.774713   0.0147671
         388    0.814276    0.774815   0.0147294
         389    0.813917    0.774915   0.0146919
         390    0.813531    0.775014   0.0146545
         391    0.813118    0.775112   0.0146174
         392    0.812678    0.775207   0.0145804
         393    0.812213    0.775302   0.0145436
         394    0.811723    0.775394    0.014507
         395    0.811208    0.775485   0.0144705
         396    0.810668    0.775574   0.0144343
         397    0.810104     0.77566   0.0143982
         398    0.809517    0.775746   0.0143623
         399    0.808907    0.775829   0.0143265
         400    0.808274     0.77591   0.0142909
         401    0.807619    0.775989   0.0142555
         402    0.806942    0.776066   0.0142202
         403    0.806244    0.776141   0.0141852
         404    0.805524    0.776213   0.0141502
         405    0.804784    0.776284   0.0141155
         406    0.804022    0.776352   0.0140809
         407     0.80324    0.776418   0.0140464
         408    0.802437    0.776482   0.0140121
         409    0.801615    0.776544    0.013978
         410    0.800774    0.776603    0.013944
         411    0.799915    0.776659   0.0139102
         412     0.79904    0.776714   0.0138766
         413    0.798147    0.776766   0.0138431
         414    0.797236    0.776815   0.0138097
         415    0.796309    0.776862   0.0137765
         416    0.795364    0.776907   0.0137435
         417    0.794404    0.776949   0.0137106
         418    0.793427    0.776988   0.0136778
         419    0.792434    0.777025   0.0136453
         420    0.791427    0.777059   0.0136128
         421    0.790405    0.777091   0.0135805
         422    0.789368     0.77712   0.0135484
         423    0.788317    0.777146   0.0135164
         424    0.787251     0.77717   0.0134845
         425    0.786171    0.777191   0.0134528
         426    0.785078     0.77721   0.0134212
         427    0.783971    0.777226   0.0133898
         428    0.782853    0.777239   0.0133585
         429    0.781723    0.777249   0.0133274
         430    0.780583    0.777257   0.0132964
         431    0.779434    0.777262   0.0132655
         432    0.778275    0.777264   0.0132348
         433    0.777105    0.777264   0.0132043
         434    0.775927    0.777261   0.0131738
         435    0.774739    0.777255   0.0131436
         436    0.773544    0.777247   0.0131134
         437    0.772342    0.777235   0.0130834
         438    0.771134    0.777222   0.0130536
         439     0.76992    0.777205   0.0130238
         440    0.768701    0.777186   0.0129942
         441    0.767478    0.777164   0.0129648
         442    0.766251    0.777139   0.0129355
         443    0.765021    0.777112   0.0129063
         444    0.763788    0.777082   0.0128773
         445    0.762554    0.777049   0.0128484
         446    0.761318    0.777014   0.0128196
         447    0.760083    0.776976    0.012791
         448     0.75885    0.776935   0.0127625
         449    0.757618    0.776892   0.0127342
         450     0.75639    0.776847    0.012706
         451    0.755165    0.776799   0.0126779
         452    0.753945    0.776748   0.0126499
         453     0.75273    0.776695   0.0126221
         454    0.751522     0.77664   0.0125944
         455    0.750321    0.776582   0.0125669
         456    0.749127    0.776522   0.0125395
         457    0.747943    0.776459   0.0125122
         458    0.746769    0.776394    0.012485
         459    0.745607    0.776327    0.012458
         460    0.744458    0.776258   0.0124311
         461    0.743322    0.776186   0.0124044
         462      0.7422    0.776113   0.0123777
