#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         351     1.09761     1.35608   0.0194683
         352     1.09801     1.35535   0.0194268
         353     1.09838     1.35462   0.0193854
         354     1.09875      1.3539   0.0193441
         355     1.09909     1.35318   0.0193029
         356     1.09942     1.35247   0.0192619
         357     1.09972     1.35176   0.0192209
         358         1.1     1.35106   0.0191801
         359     1.10025     1.35036   0.0191394
         360     1.10048     1.34967   0.0190988
         361     1.10068     1.34898   0.0190583
         362     1.10085     1.34829    0.019018
         363     1.10098     1.34761   0.0189778
         364     1.10109     1.34693   0.0189378
         365     1.10116     1.34626   0.0188979
         366     1.10119     1.34559   0.0188581
         367     1.10119     1.34492   0.0188184
         368     1.10116     1.34426    0.018779
         369     1.10108      1.3436   0.0187396
         370     1.10098     1.34295   0.0187005
         371     1.10083     1.34229   0.0186614
         372     1.10065     1.34164   0.0186226
         373     1.10044       1.341   0.0185839
         374     1.10018     1.34035   0.0185453
         375      1.0999     1.33971    0.018507
         376     1.09957     1.33907   0.0184688
         377     1.09922     1.33844   0.0184307
         378     1.09883      1.3378   0.0183929
         379     1.09841     1.33717   0.0183552
         380     1.09796     1.33654   0.0183177
         381     1.09748     1.33591   0.0182803
         382     1.09697     1.33529   0.0182432
         383     1.09644     1.33467   0.0182062
         384     1.09589     1.33404   0.0181694
         385     1.09531     1.33342   0.0181328
         386      1.0947     1.33281   0.0180964
         387     1.09408     1.33219   0.0180601
         388     1.09345     1.33157    0.018024
         389     1.09279     1.33096   0.0179881
         390     1.09213     1.33035   0.0179524
         391     1.09145     1.32974   0.0179169
         392     1.09076     1.32913   0.0178816
         393     1.09007     1.32852   0.0178464
         394     1.08937     1.32791   0.0178115
         395     1.08866     1.32731   0.0177767
         396     1.08795      1.3267    0.017742
         397     1.08725      1.3261   0.0177076
         398     1.08654      1.3255   0.0176733
         399     1.08583      1.3249   0.0176392
         400     1.08513      1.3243   0.0176053
         401     1.08444      1.3237   0.0175716
         402     1.08376      1.3231    0.017538
         403     1.08308     1.32251   0.0175046
         404     1.08242     1.32191   0.0174714
         405     1.08176     1.32132   0.0174383
         406     1.08112     1.32073   0.0174054
         407      1.0805     1.32014   0.0173726
         408     1.07989     1.31955     0.01734
         409      1.0793     1.31896   0.0173075
         410     1.07873     1.31837   0.0172752
         411     1.07818     1.31779   0.0172431
         412     1.07765     1.31721   0.0172111
         413     1.07715     1.31663   0.0171792
         414     1.07666     1.31605   0.0171475
         415      1.0762     1.31547   0.0171159
         416     1.07577     1.31489   0.0170845
         417     1.07536     1.31432   0.0170532
         418     1.07498     1.31374    0.017022
         419     1.07463     1.31317   0.0169909
         420      1.0743     1.31261     0.01696
         421     1.07401     1.31204   0.0169292
         422     1.07374     1.31147   0.0168985
         423     1.07351     1.31091   0.0168679
         424     1.07331     1.31035   0.0168374
         425     1.07314     1.30979    0.016807
         426       1.073     1.30924   0.0167768
         427      1.0729     1.30868   0.0167466
         428     1.07284     1.30813   0.0167165
         429     1.07281     1.30758   0.0166866
         430     1.07281     1.30704   0.0166567
         431     1.07286     1.30649   0.0166269
         432     1.07294     1.30595   0.0165972
         433     1.07307     1.30542   0.0165676
         434     1.07323     1.30488    0.016538
         435     1.07344     1.30435   0.0165086
         436     1.07369     1.30382   0.0164792
         437     1.07398     1.30329   0.0164499
         438     1.07432     1.30277   0.0164206
         439     1.07471     1.30225   0.0163914
         440     1.07514     1.30174   0.0163623
         441     1.07562     1.30122   0.0163332
         442     1.07614     1.30071   0.0163042
         443     1.07672     1.30021   0.0162752
         444     1.07735     1.29971   0.0162463
         445     1.07802     1.29921   0.0162175
         446     1.07875     1.29871   0.0161886
         447     1.07953     1.29822   0.0161598
         448     1.08036     1.29774   0.0161311
         449     1.08125     1.29725   0.0161024
         450     1.08218     1.29678   0.0160737
